feature	RF_importance
MMP9_SR	0.03873668429271878
ALDH2_SR	0.030628407583128948
NQO1_SR	0.027555555555555555
CRYL1_SR	0.024507257448433916
DNAJB1-PRKACA_SR	0.022056818181818184
CTNNB1-e3.1_SR	0.02164044048662374
TMEM119_SR	0.02090459277014253
LIN28B_SR	0.020542483660130718
TIMP2_SR	0.02050459043880096
LHX2_SR	0.017007846434075945
PNN_SR	0.015834432234432233
IGFBP3_SR	0.015704747608727962
TNFRSF19_SR	0.015280830280830278
FRRS1L_SR	0.01521486948124018
IGKC_SR	0.015164918414918413
14q32_nano_2_SR	0.014820707070707073
IGF2-p2_SR	0.014707792207792211
SH3PXD2B_SR	0.013968253968253972
KEAP1_SR	0.013884004884004883
NSD1_SR	0.013861111111111112
FSTL1_SR	0.013773448773448773
H19_SR	0.013451479076479074
CYR61_SR	0.013061601000625388
ADARB1_SR	0.01299897324897325
ACAN_SR	0.012575455204401353
DUSP9_SR	0.012450980392156863
SNORA14A_SR	0.012285714285714289
MET_SR	0.011493414750957855
PHIP_SR	0.011222222222222224
NCKAP1_SR	0.011181988742964355
ODC1_SR	0.010309523809523807
LEF1_SR	0.010094393592677341
DKK4_SR	0.010074418521145092
RPL10A_SR	0.009785714285714285
CTNNB1-e4_SR	0.009750000000000002
DDX1_22ac_23_SR	0.009705882352941179
MME_SR	0.009704545454545457
cL_FN1_24a_SR	0.009478743756754391
cL_IGSF1_2_6_SR	0.009317460317460318
NCOR1_SR	0.009134615384615383
cL_FN1_30h_31_32_SR	0.009063653702207922
PEG10_SR	0.0089047619047619
VEGFA_SR	0.008333333333333335
PTCH1_SR	0.008285714285714287
ROBO2_SR	0.008202644395078606
NPM1_SR	0.008174603174603173
TAZ_SR	0.007944444444444441
cL_CD5L_10_SR	0.007862554112554114
ATP1A2_SR	0.007666666666666667
NNT_SR	0.007570125562662877
TAL1_SR	0.007499999999999998
NOTCH1_SR	0.007127659574468086
ERBB2IP_26b_SR	0.006955266955266953
ITGB3_SR	0.006818181818181817
IHH_SR	0.006776223776223775
SMUG1P1_SR	0.00663059163059163
KCNU1_SR	0.006496427070197566
HAO2_SR	0.006484848484848483
FGF19_SR	0.006348484848484848
GAPDH_SR	0.006153846153846153
HES1_SR	0.006145782938235768
cL_FN1_30e_SR	0.006052631578947369
HMGA2_SR	0.005878332194121667
HHIP_SR	0.005769230769230772
C1C2_r67_SR	0.005769230769230771
MBD2_SR	0.005666244324780909
HRSP12_SR	0.005414862914862915
PET100_SR	0.005277777777777778
CCL2_SR	0.0052380952380952405
CDCA5_2ab_SR	0.005238095238095239
XAF1_SR	0.005139018087855294
CTSC_SR	0.005096153846153849
GLUL_SR	0.005084461637653127
APCDD1_SR	0.005000000000000002
SGK1_SR	0.005000000000000001
ADAR_SR	0.005
SET_11b_SR	0.005
YAP1_SR	0.004999999999999999
EMP1_SR	0.0049999999999999975
BEX1_SR	0.004978354978354982
DEFA5_SR	0.004886363636363638
MEG3_SR	0.00482142857142857
CD36_SR	0.0047252747252747255
NKD1_SR	0.004646616541353384
GSTZ1_SR	0.004643578643578645
CDCA7_SR	0.004545454545454548
cL_ZBTB11_6b_SR	0.004459527400703871
IL6_SR	0.004374999999999999
IGF2-p4_SR	0.004346969696969697
14q32_nano_3_SR	0.004222222222222223
HPD_SR	0.004206349206349205
CD163_SR	0.004168552036199096
CTNNB1-e2_SR	0.0040259740259740275
UBE3A-456b7_SR	0.0038461538461538464
SAA2_SR	0.0037142857142857173
AQP9_SR	0.0034999999999999996
MEG8_SR	0.0034928571428571443
14q32_nano_4_SR	0.0033653846153846134
KRT19_SR	0.003333333333333333
SLC7A11_SR	0.0032187500000000024
NT5DC2_SR	0.003125000000000003
SOX9_SR	0.003094202898550724
PLPP3_SR	0.0030769230769230765
FGF7_SR	0.0030194805194805195
EEF1A1_SR	0.0029090909090909106
FKBP10_SR	0.002857142857142857
FAM114A1_SR	0.0025096525096525075
TAGLN_SR	0.0024264705882352925
JAG1_SR	0.0023611111111111077
C1QBP_SR	0.001999999999999999
RAN_SR	0.001999999999999999
SRSF11_SR	0.0019047619047619043
KI67_SR	0.0018181818181818188
LGALS3_SR	0.0018181818181818147
CCND2_SR	0.0016666666666666653
COL2A1_SR	0.0014285714285714305
TRANK1_SR	0.0014285714285714292
PTPRC_SR	0.0014285714285714288
COL24A1_SR	0.0012500000000000013
SLIT2_SR	0.00125
ITGA6_SR	0.001111111111111111
TGFB1_SR	0.0011111111111111102
HSD17B6_SR	0.0007692307692307694
DLK1_SR	0.0006666666666666664
NFE2L2_SR	2.7755575615628903e-18
SET_11c_SR	2.2204460492503127e-18
EPCAM_SR	2.2204460492503127e-18
REG3A_SR	1.4988010832439607e-18
RHOT2_SR	1.1102230246251564e-18
CKAP4_SR	0.0
TIA1_SR	0.0
APCS_SR	0.0
THY1_SR	0.0
WLS_SR	0.0
SPINK1_SR	0.0
RHBG_SR	0.0
PDCD1_SR	0.0
APOC4_SR	0.0
C1C2C2B_median_SR	0.0
PEG3_SR	0.0
DCN_SR	0.0
KLF6_SR	0.0
OLFML2B_SR	0.0
CYP2E1_SR	0.0
C1S_SR	0.0
SERPINI1_SR	0.0
ATM_SR	0.0
cL_CDAC5_1_SR	0.0
GPC3_SR	0.0
C1C2C1B&C2B_median_SR	0.0
DKK1_SR	0.0
