feature	RF_importance
NCL_BX	0.07380067053297004
KEAP1_BX	0.07125483145710908
IGF2-p4_BX	0.04871612960552938
TAGLN_BX	0.04527687099655603
CHKA_BX	0.04425539868289254
IGF2_BX	0.041721604727314274
RPL10A_BX	0.04034565679856823
RHBG_BX	0.033998017778490486
AFP_BX	0.03283585904888544
LGR5_BX	0.03199082097979958
HPD_BX	0.03031905246203851
cL_FN1_30h_31_32_BX	0.029392996473879936
SH3PXD2B_BX	0.028478863028462413
SRSF11_BX	0.02838685043224577
SNORA14A_BX	0.027406384329048884
MEG8_BX	0.027200888795569363
SOX9_BX	0.026742920848682097
ITGAM_BX	0.026333581368689213
TP53_BX	0.025014379762802394
SLIT1_BX	0.023694697564409464
EPCAM_BX	0.023534650194061136
cL_CD5L_10_BX	0.021338200042714896
CCL2_BX	0.021046421252482395
GHR_BX	0.020424228607374154
ACAN_BX	0.020212965854561248
C1C2_med_BX	0.02003651024104044
SERPINI1_BX	0.019742675887996514
NCKAP1_BX	0.016909819917033376
HMGA2_BX	0.01628705619543636
VEGFA_BX	0.016267267368717624
ARID1A_BX	0.015341707146918989
E2F5_BX	0.014385144049053295
PTCH1_BX	0.01257463866966078
GPC3_BX	0.012536561032919898
ATP1A2_BX	0.012195677866085807
SPINK1_BX	3.63345717150051e-18
