C	opt num of features	accuracy
0.01	5	0.8085106382978723
0.02	82	0.7872340425531915
0.03	146	0.8085106382978723
0.04	108	0.8191489361702128
0.05	106	0.8085106382978723
0.06	103	0.8191489361702128
0.07	105	0.8085106382978723
0.08	112	0.8085106382978723
0.09	89	0.8191489361702128
0.1	85	0.8191489361702128
