feature	RF_importance
THY1_SR	0.032555514660777815
BEX1_SR	0.024545454545454547
TSPYL5_SR	0.023611111111111117
14q32_nano_3_SR	0.023546494355317887
WIF1_SR	0.022035714285714283
cL_CD5L_10_SR	0.021469512195121953
CYR61_SR	0.020555555555555553
ITGB3_SR	0.01966666666666667
ITGA6_SR	0.01942857142857143
SRSF11_SR	0.018411764705882353
NFIC_SR	0.018096177275595923
YAP1_SR	0.017577561327561327
IGSF1_SR	0.017460317460317464
RAN_SR	0.015467948717948718
IGKC_SR	0.014666666666666663
HSD17B6_SR	0.014166666666666668
AQP9_SR	0.014134615384615386
IGF2-p2_SR	0.013571428571428573
ALDH2_SR	0.01353174603174603
DEFA5_SR	0.0135042735042735
H19_SR	0.01338888888888889
SGPL1_SR	0.012774832473462606
EMP1_SR	0.012252990911527498
MMP9_SR	0.012222222222222223
B2M_SR	0.012222222222222223
NCOR1_SR	0.011630036630036634
C1C2_mean_SR	0.011428571428571429
SNORA14A_SR	0.011428571428571425
IHH_SR	0.011263736263736265
SMUG1P1_SR	0.011111111111111113
ROBO1_SR	0.010546218487394956
ROBO2_SR	0.010140271493212671
cL_CDAC5_1_SR	0.010000000000000004
RHBG_SR	0.010000000000000002
SGK1_SR	0.01
NKD1_SR	0.01
MRS_SR	0.01
UBE3A-456b7_SR	0.009999999999999997
SPINK1_SR	0.00980681818181818
KEAP1_SR	0.009771241830065362
14q32_nano_2_SR	0.009666666666666667
MEG3_SR	0.009496753246753245
TIA1_SR	0.009222222222222224
14q32_nano_4_SR	0.009134615384615383
cL_ZBTB11_6b_SR	0.0090719696969697
DKK4_SR	0.009000000000000001
ATP1A2_SR	0.008944444444444444
IGF2_SR	0.008846153846153846
MEG8_SR	0.008666666666666666
PDCD1_SR	0.008322161709258485
WLS_SR	0.008269230769230772
PTCH1_SR	0.008166666666666664
MET_SR	0.008116883116883114
IGF2-p4_SR	0.00801773835920177
NNT_SR	0.007941326965717208
SOX9_SR	0.007707070707070709
FAM114A1_SR	0.007571428571428573
ID4_SR	0.007555555555555557
TGFB1_SR	0.0075
CDH2_SR	0.0073509479026720405
NLE_SR	0.007163624070317789
ERBB2IP_26b_SR	0.0070057720057720065
CTNNB1_SR	0.006947496947496947
PEG3_SR	0.006676245210727967
HMGA2_SR	0.006578947368421054
LGALS3_SR	0.006428571428571428
TOP2A_SR	0.006428571428571426
CCL2_SR	0.00611111111111111
PET100_SR	0.006011904761904763
NCL_SR	0.006000000000000003
PNN_SR	0.005694444444444446
DCN_SR	0.0050000000000000044
KCNU1_SR	0.005000000000000004
GPC3_SR	0.005000000000000001
GAS1_SR	0.005000000000000001
KRT19_SR	0.005000000000000001
OLFML2B_SR	0.005000000000000001
CRYL1_SR	0.005000000000000001
FSTL1_SR	0.004999999999999999
RPL10A_SR	0.004999999999999999
CRP_SR	0.004999999999999999
ODC1_SR	0.004999999999999998
LHX2_SR	0.004999999999999998
CD36_SR	0.0049999999999999975
CDCA5_2ab_SR	0.004999999999999997
SET_11c_SR	0.004789473684210526
NT5DC2_SR	0.004750000000000002
HRSP12_SR	0.004615384615384619
PSMD10_SR	0.004615384615384613
SLC7A11_SR	0.004294117647058826
FGF19_SR	0.004222222222222227
QuALU_SR	0.004166666666666662
COL2A1_SR	0.004025974025974026
NPM1_SR	0.00388888888888889
CKAP4_SR	0.0038888888888888883
RAMP3_SR	0.0038068181818181803
PHIP_SR	0.0036666666666666657
PEG10_SR	0.00357142857142857
TAL1_SR	0.003333333333333331
ACTG1_SR	0.0030000000000000022
TRANK1_SR	0.003
PTPRC_SR	0.0025396825396825336
SET_11b_SR	0.0025000000000000005
DNAJB1-PRKACA_SR	0.002323491655969195
JAG1_SR	0.0020689655172413802
CTNNB1-e4_SR	0.002
DLK1_SR	0.002
CTNNB1-e3.1_SR	0.001875000000000003
ADARB1_SR	0.0018181818181818197
ATM_SR	0.001742424242424243
VEGFA_SR	0.0016129032258064507
SH3PXD2B_SR	0.0014285714285714286
TAGLN_SR	0.0014285714285714266
cL_FN1_24a_SR	0.001428571428571425
SNUPN_SR	0.0014285714285714249
CCND2_SR	0.0011111111111111135
HDAC2_SR	0.0011111111111111111
CD24_SR	0.00034090909090909256
C1C2C1B&C2B_median_SR	3.3306690738754695e-18
cL_FN1_30e_SR	2.2204460492503124e-18
LGR5_SR	2.2204460492503124e-18
cL_UBE3A_10_SR	1.4274296030894875e-18
GJA1_SR	0.0
HAO2_SR	0.0
cL_FN1_30h_31_32_SR	0.0
EEF1A1_SR	0.0
CYP2E1_SR	0.0
NCKAP1_SR	0.0
CD163_SR	0.0
PRRX1_SR	0.0
GLUL_SR	0.0
SALL4_SR	0.0
ANGPT2_SR	0.0
APOC4_SR	0.0
MBD2_SR	0.0
REG3A_SR	0.0
GSTZ1_SR	0.0
GLI3_SR	0.0
GAPDH_SR	0.0
TAZ_SR	0.0
IGFBP3_SR	0.0
ADAR_SR	0.0
NQO1_SR	0.0
CTSC_SR	0.0
TNFRSF19_SR	0.0
HES1_SR	0.0
HPD_SR	0.0
NOTCH1_SR	0.0
DKK1_SR	0.0
MME_SR	0.0
IL6_SR	0.0
C1C2_r60_SR	0.0
APCS_SR	0.0
COL24A1_SR	0.0
CTNNB1-e2_SR	0.0
C1QBP_SR	0.0
PLPP3_SR	0.0
DDX1_22ac_23_SR	0.0
FKBP10_SR	0.0
LEF1_SR	0.0
