C	opt num of features	accuracy
0.01	5	0.8210526315789474
0.02	80	0.8
0.03	107	0.8
0.04	93	0.8
0.05	82	0.8105263157894737
0.06	85	0.8105263157894737
0.07	81	0.8
0.08	78	0.8
0.09	104	0.8
0.1	102	0.8
